iter	Passed	Remaining
0	13	13906
1	26	13038
2	38	12631
3	51	12852
4	65	12941
5	76	12675
6	87	12368
7	99	12278
8	110	12221
9	118	11730
10	126	11367
11	134	11071
12	148	11284
13	161	11346
14	168	11083
15	176	10845
16	185	10701
17	202	11063
18	215	11145
19	227	11169
20	255	11932
21	270	12037
22	283	12025
23	313	12740
24	326	12732
25	353	13237
26	366	13197
27	377	13094
28	404	13538
29	418	13519
30	432	13520
31	457	13852
32	471	13815
33	487	13861
34	508	14014
35	522	14000
36	534	13917
37	556	14076
38	564	13907
39	573	13754
40	585	13698
41	609	13892
42	617	13735
43	630	13691
44	658	13968
45	671	13916
46	699	14181
47	713	14142
48	724	14056
49	751	14278
50	764	14234
51	778	14185
52	808	14450
53	821	14387
54	845	14525
55	859	14493
56	870	14404
57	899	14614
58	925	14764
59	953	14939
60	965	14864
61	980	14831
62	1003	14930
63	1015	14844
64	1028	14789
65	1051	14885
66	1071	14917
67	1090	14942
68	1099	14835
69	1107	14713
70	1115	14591
71	1123	14477
72	1154	14662
73	1167	14605
74	1177	14523
75	1197	14554
76	1204	14440
77	1212	14331
78	1220	14227
79	1232	14178
80	1245	14132
81	1253	14035
82	1263	13954
83	1271	13861
84	1290	13886
85	1300	13819
86	1310	13754
87	1320	13687
88	1338	13705
89	1346	13617
90	1354	13529
91	1362	13449
92	1370	13365
93	1381	13311
94	1388	13231
95	1397	13158
96	1404	13078
97	1412	13002
98	1420	12932
99	1429	12864
100	1437	12797
101	1446	12731
102	1453	12659
103	1467	12643
104	1485	12659
105	1501	12662
106	1544	12893
107	1606	13266
108	1627	13304
109	1640	13269
110	1655	13255
111	1668	13227
112	1693	13296
113	1707	13272
114	1716	13211
115	1735	13229
116	1744	13162
117	1751	13095
118	1761	13044
119	1772	12997
120	1788	12992
121	1796	12928
122	1804	12869
123	1814	12817
124	1831	12821
125	1845	12801
126	1861	12793
127	1878	12796
128	1893	12787
129	1905	12752
130	1919	12732
131	1943	12777
132	1952	12729
133	1970	12734
134	1984	12717
135	1992	12657
136	2000	12600
137	2008	12543
138	2016	12491
139	2025	12440
140	2034	12393
141	2042	12339
142	2050	12288
143	2059	12243
144	2073	12225
145	2084	12190
146	2092	12139
147	2099	12089
148	2107	12039
149	2116	11994
150	2128	11969
151	2139	11935
152	2147	11886
153	2155	11841
154	2164	11799
155	2175	11769
156	2184	11728
157	2192	11684
158	2200	11637
159	2209	11598
160	2230	11621
161	2245	11614
162	2258	11598
163	2279	11619
164	2293	11607
165	2306	11590
166	2327	11610
167	2340	11591
168	2351	11564
169	2367	11560
170	2382	11550
171	2394	11525
172	2405	11500
173	2422	11500
174	2435	11480
175	2447	11457
176	2459	11435
177	2483	11470
178	2495	11447
179	2515	11459
180	2532	11460
181	2544	11438
182	2557	11415
183	2585	11466
184	2598	11449
185	2617	11454
186	2631	11439
187	2643	11417
188	2656	11397
189	2678	11419
190	2691	11400
191	2705	11384
192	2725	11396
193	2738	11377
194	2751	11357
195	2777	11394
196	2790	11374
197	2807	11370
198	2828	11386
199	2840	11362
200	2857	11360
201	2873	11350
202	2888	11340
203	2902	11326
204	2919	11321
205	2931	11300
206	2944	11280
207	2959	11268
208	2973	11254
209	2981	11216
210	2990	11183
211	2998	11145
212	3010	11123
213	3023	11104
214	3034	11078
215	3044	11050
216	3056	11028
217	3070	11015
218	3078	10979
219	3086	10943
220	3094	10908
221	3113	10909
222	3121	10875
223	3129	10840
224	3137	10807
225	3145	10772
226	3155	10746
227	3164	10714
228	3172	10680
229	3179	10646
230	3187	10612
231	3196	10580
232	3206	10555
233	3214	10522
234	3222	10490
235	3231	10460
236	3240	10431
237	3248	10402
238	3257	10373
239	3267	10346
240	3275	10315
241	3284	10286
242	3292	10256
243	3302	10230
244	3310	10200
245	3319	10173
246	3327	10144
247	3336	10116
248	3346	10092
249	3355	10065
250	3363	10037
251	3377	10023
252	3389	10009
253	3403	9995
254	3413	9973
255	3422	9945
256	3431	9919
257	3439	9892
258	3465	9915
259	3476	9895
260	3490	9882
261	3517	9909
262	3531	9896
263	3555	9911
264	3567	9894
265	3580	9878
266	3592	9861
267	3604	9843
268	3614	9822
269	3626	9806
270	3638	9787
271	3649	9767
272	3660	9747
273	3671	9727
274	3681	9706
275	3692	9685
276	3709	9682
277	3720	9661
278	3730	9640
279	3743	9626
280	3758	9616
281	3769	9597
282	3779	9575
